Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.5033	0	0	0	LastDelay	0.000293144	293.144	1	1
1.5033	0	0	0	FullDelay	1.50329	1.50329e+06	4	1
1.5587	0	0	2	LastDelay	0.000698144	698.144	1	1
1.5587	0	0	2	FullDelay	0.044476	44476	2	1
1.67459	0	0	7	LastDelay	0.000734144	734.144	1	1
1.67459	0	0	7	FullDelay	0.000734144	734.144	1	1
1.71897	0	0	4	LastDelay	0.000761144	761.144	1	1
1.71897	0	0	4	FullDelay	0.122138	122138	3	1
1.73513	0	0	6	LastDelay	0.000752144	752.144	1	1
1.73513	0	0	6	FullDelay	0.0723812	72381.2	2	1
1.74589	0	0	9	LastDelay	0.000743144	743.144	1	1
1.74589	0	0	9	FullDelay	0.000743144	743.144	1	1
1.75709	0	0	10	LastDelay	0.000716144	716.144	1	1
1.75709	0	0	10	FullDelay	0.000716144	716.144	1	1
2.8341	0	0	26	LastDelay	0.000752144	752.144	1	1
2.8341	0	0	26	FullDelay	0.000752144	752.144	1	1
2.86721	0	0	28	LastDelay	0.000725144	725.144	1	1
2.86721	0	0	28	FullDelay	0.000725144	725.144	1	1
2.89481	0	0	19	LastDelay	0.000734144	734.144	1	1
2.89481	0	0	19	FullDelay	1.01811	1.01811e+06	2	1
2.96089	0	0	35	LastDelay	0.000734144	734.144	1	1
2.96089	0	0	35	FullDelay	0.000734144	734.144	1	1
3.95043	0	0	50	LastDelay	0.000752144	752.144	1	1
3.95043	0	0	50	FullDelay	0.000752144	752.144	1	1
4.09267	0	0	61	LastDelay	0.000752144	752.144	1	1
4.09267	0	0	61	FullDelay	0.000752144	752.144	1	1
4.31245	0	0	39	LastDelay	0.000734144	734.144	1	1
4.31245	0	0	39	FullDelay	1.30808	1.30808e+06	2	1
4.32867	0	0	41	LastDelay	0.000761144	761.144	1	1
4.32867	0	0	41	FullDelay	1.30246	1.30246e+06	2	1
4.33964	0	0	65	LastDelay	0.000725144	725.144	1	1
4.33964	0	0	65	FullDelay	0.000725144	725.144	1	1
4.8013	0	0	87	LastDelay	0.000734144	734.144	1	1
4.8013	0	0	87	FullDelay	0.000734144	734.144	1	1
4.86649	0	0	93	LastDelay	0.000743144	743.144	1	1
4.86649	0	0	93	FullDelay	0.000743144	743.144	1	1
5.24066	0	0	23	LastDelay	0.000689144	689.144	1	1
5.24066	0	0	23	FullDelay	2.44024	2.44024e+06	3	1
5.48244	0	0	15	LastDelay	0.000752144	752.144	1	1
5.48244	0	0	15	FullDelay	3.64968	3.64968e+06	4	1
5.51498	0	0	27	LastDelay	0.000734144	734.144	1	1
5.51498	0	0	27	FullDelay	2.65405	2.65405e+06	3	1
5.54785	0	0	57	LastDelay	0.000689144	689.144	1	1
5.54785	0	0	57	FullDelay	1.49964	1.49964e+06	2	1
5.59155	0	0	62	LastDelay	0.000761144	761.144	1	1
5.59155	0	0	62	FullDelay	1.48853	1.48853e+06	2	1
5.6137	0	0	106	LastDelay	0.000734144	734.144	1	1
5.6137	0	0	106	FullDelay	0.000734144	734.144	1	1
5.70191	0	0	18	LastDelay	0.000761144	761.144	1	1
5.70191	0	0	18	FullDelay	3.83611	3.83611e+06	4	1
5.74592	0	0	34	LastDelay	0.000734144	734.144	1	1
5.74592	0	0	34	FullDelay	2.80779	2.80779e+06	3	1
5.76756	0	0	115	LastDelay	0.000761144	761.144	1	1
5.76756	0	0	115	FullDelay	0.000761144	761.144	1	1
5.81091	0	0	71	LastDelay	0.000752144	752.144	1	1
5.81091	0	0	71	FullDelay	1.43888	1.43888e+06	2	1
