Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.5033	0	0	0	LastDelay	0.000293144	293.144	1	1
1.5033	0	0	0	FullDelay	1.50329	1.50329e+06	4	1
1.52435	0	0	3	LastDelay	0.000698144	698.144	1	1
1.52435	0	0	3	FullDelay	0.0130987	13098.7	2	1
1.55981	0	0	4	LastDelay	0.000734144	734.144	1	1
1.55981	0	0	4	FullDelay	0.0304822	30482.2	3	1
1.57039	0	0	9	LastDelay	0.000761144	761.144	1	1
1.57039	0	0	9	FullDelay	0.000761144	761.144	1	1
1.5744	0	0	11	LastDelay	0.000752144	752.144	1	1
1.5744	0	0	11	FullDelay	0.000752144	752.144	1	1
1.57644	0	0	12	LastDelay	0.000743144	743.144	1	1
1.57644	0	0	12	FullDelay	0.000743144	743.144	1	1
1.57853	0	0	13	LastDelay	0.000716144	716.144	1	1
1.57853	0	0	13	FullDelay	0.000716144	716.144	1	1
2.43454	0	0	19	LastDelay	0.000752144	752.144	1	1
2.43454	0	0	19	FullDelay	0.834987	834987	2	1
2.44629	0	0	26	LastDelay	0.000725144	725.144	1	1
2.44629	0	0	26	FullDelay	0.000725144	725.144	1	1
2.46084	0	0	29	LastDelay	0.000734144	734.144	1	1
2.46084	0	0	29	FullDelay	0.000734144	734.144	1	1
2.48439	0	0	35	LastDelay	0.000734144	734.144	1	1
2.48439	0	0	35	FullDelay	0.000734144	734.144	1	1
3.59039	0	0	25	LastDelay	0.000752144	752.144	1	1
3.59039	0	0	25	FullDelay	1.14864	1.14864e+06	2	1
3.66145	0	0	60	LastDelay	0.000752144	752.144	1	1
3.66145	0	0	60	FullDelay	0.000752144	752.144	1	1
3.7131	0	0	34	LastDelay	0.000734144	734.144	1	1
3.7131	0	0	34	FullDelay	1.23325	1.23325e+06	2	1
3.71931	0	0	66	LastDelay	0.000761144	761.144	1	1
3.71931	0	0	66	FullDelay	0.000761144	761.144	1	1
3.72332	0	0	68	LastDelay	0.000725144	725.144	1	1
3.72332	0	0	68	FullDelay	0.000725144	725.144	1	1
4.66177	0	0	84	LastDelay	0.000734144	734.144	1	1
4.66177	0	0	84	FullDelay	0.000734144	734.144	1	1
4.67562	0	0	90	LastDelay	0.000743144	743.144	1	1
4.67562	0	0	90	FullDelay	0.000743144	743.144	1	1
4.69565	0	0	99	LastDelay	0.000689144	689.144	1	1
4.69565	0	0	99	FullDelay	0.000689144	689.144	1	1
4.93239	0	0	50	LastDelay	0.000752144	752.144	1	1
4.93239	0	0	50	FullDelay	1.33501	1.33501e+06	2	1
4.94029	0	0	53	LastDelay	0.000734144	734.144	1	1
4.94029	0	0	53	FullDelay	1.3371	1.3371e+06	2	1
4.95259	0	0	20	LastDelay	0.000689144	689.144	1	1
4.95259	0	0	20	FullDelay	3.34922	3.34922e+06	4	1
4.96851	0	0	57	LastDelay	0.000761144	761.144	1	1
4.96851	0	0	57	FullDelay	1.35756	1.35756e+06	2	1
4.97434	0	0	112	LastDelay	0.000734144	734.144	1	1
4.97434	0	0	112	FullDelay	0.000734144	734.144	1	1
4.99048	0	0	120	LastDelay	0.000761144	761.144	1	1
4.99048	0	0	120	FullDelay	0.000761144	761.144	1	1
5.00434	0	0	72	LastDelay	0.000734144	734.144	1	1
5.00434	0	0	72	FullDelay	1.27355	1.27355e+06	2	1
5.01458	0	0	75	LastDelay	0.000761144	761.144	1	1
5.01458	0	0	75	FullDelay	1.27787	1.27787e+06	2	1
5.04699	0	0	83	LastDelay	0.000752144	752.144	1	1
5.04699	0	0	83	FullDelay	1.29433	1.29433e+06	2	1
5.06492	0	0	62	LastDelay	0.000761144	761.144	1	1
